task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	26/bca68d	2650053	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_11)	COMPLETED	0	2025-08-30 11:46:28.462	66ms	3ms	100.0%	0	0	115.2 KB	388 B
7	12/8fc188	2650099	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_9)	COMPLETED	0	2025-08-30 11:46:28.483	94ms	5ms	70.6%	0	0	115.2 KB	385 B
1	03/3318fd	2650075	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_3)	COMPLETED	0	2025-08-30 11:46:28.475	100ms	4ms	80.0%	0	0	117.2 KB	385 B
4	b5/20c1bb	2650136	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_6)	COMPLETED	0	2025-08-30 11:46:28.491	142ms	6ms	57.1%	0	0	117.2 KB	385 B
5	49/48342a	2650186	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_7)	COMPLETED	0	2025-08-30 11:46:28.500	133ms	8ms	82.8%	0	0	115.2 KB	385 B
3	13/dcee96	2650247	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_5)	COMPLETED	0	2025-08-30 11:46:28.509	129ms	7ms	70.6%	0	0	115.2 KB	385 B
10	66/795d0c	2650294	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_12)	COMPLETED	0	2025-08-30 11:46:28.518	138ms	12ms	58.5%	0	0	117.2 KB	387 B
2	cc/6762a8	2650356	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_4)	COMPLETED	0	2025-08-30 11:46:28.529	128ms	8ms	0.0%	0	0	115.2 KB	383 B
6	9a/de0377	2650390	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_8)	COMPLETED	0	2025-08-30 11:46:28.537	135ms	8ms	58.5%	0	0	117.2 KB	385 B
8	32/5ff8d9	2650444	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_10)	COMPLETED	0	2025-08-30 11:46:28.547	143ms	6ms	82.8%	0	0	117.2 KB	387 B
12	65/2ddcfd	2650856	TRAIN (human-u_cdr3beta_epitope_0_3)	COMPLETED	0	2025-08-30 11:46:28.656	4h 39m 55s	4h 39m 13s	98.9%	17.7 MB	3.7 GB	292.3 GB	1 GB
14	bf/7260bd	2650922	TRAIN (human-u_cdr3beta_epitope_0_6)	COMPLETED	0	2025-08-30 11:46:28.686	5h 13m 7s	5h 12m 28s	99.1%	17.4 MB	3.7 GB	702.8 GB	1.2 GB
18	97/d8c108	2650954	TRAIN (human-u_cdr3beta_epitope_0_4)	COMPLETED	0	2025-08-30 11:46:28.716	6h 13m 35s	6h 10m 59s	99.9%	17.4 MB	3.7 GB	560.4 GB	1.1 GB
16	27/7010b5	2650930	TRAIN (human-u_cdr3beta_epitope_0_5)	COMPLETED	0	2025-08-30 11:46:28.695	8h 11m 51s	8h 9m 21s	100.1%	17.4 MB	3.7 GB	1.1 TB	1.1 GB
15	dd/914b83	2650903	TRAIN (human-u_cdr3beta_epitope_0_7)	COMPLETED	0	2025-08-30 11:46:28.675	9h 13m 13s	9h 10m 31s	100.2%	17 MB	3.7 GB	1.9 TB	1.3 GB
13	ca/4bbadc	2650813	TRAIN (human-u_cdr3beta_epitope_0_9)	COMPLETED	0	2025-08-30 11:46:28.641	9h 17m 23s	9h 15m 23s	100.1%	17.5 MB	3.7 GB	2.3 TB	1.4 GB
19	50/bcbfa2	2650966	TRAIN (human-u_cdr3beta_epitope_0_8)	COMPLETED	0	2025-08-30 11:46:28.729	9h 48m 49s	9h 46m 36s	100.1%	17.4 MB	3.7 GB	2.3 TB	1.4 GB
20	dc/2210d3	2650975	TRAIN (human-u_cdr3beta_epitope_0_10)	COMPLETED	0	2025-08-30 11:46:28.740	10h 29m 24s	10h 27m 25s	100.1%	18.1 MB	3.7 GB	3.2 TB	1.8 GB
11	88/435c26	2650879	TRAIN (human-u_cdr3beta_epitope_0_11)	COMPLETED	0	2025-08-30 11:46:28.664	10h 51m 46s	10h 49m 45s	100.1%	17.7 MB	3.7 GB	3.7 TB	2 GB
17	26/b13946	2650945	TRAIN (human-u_cdr3beta_epitope_0_12)	COMPLETED	0	2025-08-30 11:46:28.705	11h	10h 57m 56s	100.1%	17.3 MB	3.7 GB	4.2 TB	2.4 GB
