task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	54/1b2d5b	193884	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_epitope_0_5)	COMPLETED	0	2025-08-28 18:42:21.496	108ms	4ms	141.2%	0	0	117 KB	380 B
5	02/627807	193917	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_epitope_0_7)	COMPLETED	0	2025-08-28 18:42:21.506	130ms	6ms	50.0%	0	0	110.9 KB	379 B
1	07/70be20	193862	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_epitope_0_3)	COMPLETED	0	2025-08-28 18:42:21.481	83ms	3ms	184.6%	0	0	117 KB	380 B
11	cf/e7e410	193992	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_mhc_0_3)	COMPLETED	0	2025-08-28 18:42:21.524	155ms	8ms	80.0%	0	0	115 KB	369 B
10	cb/7dbf5a	193955	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_epitope_0_12)	COMPLETED	0	2025-08-28 18:42:21.515	146ms	7ms	85.7%	0	0	115 KB	381 B
9	b3/e6f449	194088	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_epitope_0_11)	COMPLETED	0	2025-08-28 18:42:21.545	177ms	10ms	24.0%	0	0	117 KB	381 B
4	35/29464d	194042	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_epitope_0_6)	COMPLETED	0	2025-08-28 18:42:21.534	201ms	6ms	55.8%	0	0	115 KB	379 B
6	cf/92b510	194153	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_epitope_0_8)	COMPLETED	0	2025-08-28 18:42:21.556	216ms	12ms	34.3%	0	0	115 KB	379 B
2	77/2ccd12	194298	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_epitope_0_4)	COMPLETED	0	2025-08-28 18:42:21.593	185ms	21ms	37.5%	0	0	115 KB	379 B
12	17/54169e	194241	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_mhc_0_4)	COMPLETED	0	2025-08-28 18:42:21.580	215ms	14ms	23.5%	0	0	115 KB	369 B
7	ed/abeccf	194427	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_epitope_0_9)	COMPLETED	0	2025-08-28 18:42:21.618	199ms	10ms	0.0%	0	0	117 KB	377 B
8	0d/6c0c2b	194387	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_epitope_0_10)	COMPLETED	0	2025-08-28 18:42:21.609	200ms	10ms	50.0%	0	0	117 KB	381 B
16	55/852d5e	194193	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_mhc_0_8)	COMPLETED	0	2025-08-28 18:42:21.568	241ms	7ms	46.2%	0	0	117 KB	369 B
14	33/af98a3	194459	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_mhc_0_6)	COMPLETED	0	2025-08-28 18:42:21.630	211ms	9ms	0.0%	0	0	117 KB	367 B
13	1d/e9f87c	194525	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_mhc_0_5)	COMPLETED	0	2025-08-28 18:42:21.645	239ms	12ms	37.5%	0	0	115 KB	369 B
15	b1/ee8901	194762	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_mhc_0_7)	COMPLETED	0	2025-08-28 18:42:21.704	180ms	24ms	38.7%	0	0	115 KB	369 B
17	45/b29030	194867	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_mhc_0_9)	COMPLETED	0	2025-08-28 18:42:21.726	183ms	6ms	48.0%	0	0	117 KB	369 B
18	5d/9470af	194934	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_mhc_0_10)	COMPLETED	0	2025-08-28 18:42:21.744	179ms	12ms	39.3%	0	0	117 KB	371 B
25	52/77aba6	194969	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_epitope_0_7)	COMPLETED	0	2025-08-28 18:42:21.758	191ms	5ms	36.4%	0	0	115 KB	377 B
20	3e/694684	195123	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_mhc_0_12)	COMPLETED	0	2025-08-28 18:42:21.791	261ms	5ms	29.3%	0	0	115 KB	371 B
19	74/a52c27	195099	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_mhc_0_11)	COMPLETED	0	2025-08-28 18:42:21.781	270ms	5ms	85.7%	0	0	115 KB	371 B
21	70/d754a2	195179	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_epitope_0_3)	COMPLETED	0	2025-08-28 18:42:21.805	247ms	9ms	96.0%	0	0	113 KB	377 B
22	5f/97b6e0	195756	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_epitope_0_4)	COMPLETED	0	2025-08-28 18:42:22.060	244ms	25ms	30.8%	0	0	117 KB	377 B
29	c5/c37227	195765	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_epitope_0_11)	COMPLETED	0	2025-08-28 18:42:22.090	263ms	11ms	80.0%	0	0	115 KB	379 B
23	72/4d1903	195792	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_epitope_0_5)	COMPLETED	0	2025-08-28 18:42:22.119	284ms	12ms	39.3%	0	0	117 KB	377 B
24	05/d08b88	196014	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_epitope_0_6)	COMPLETED	0	2025-08-28 18:42:22.326	343ms	23ms	30.3%	0	0	117 KB	377 B
26	7c/4e0573	196083	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_epitope_0_8)	COMPLETED	0	2025-08-28 18:42:22.392	325ms	25ms	43.9%	0	0	117 KB	377 B
28	8c/cfbabd	196139	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_epitope_0_10)	COMPLETED	0	2025-08-28 18:42:22.525	230ms	12ms	39.3%	0	0	117 KB	379 B
33	8e/5c7255	196407	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_mhc_0_5)	COMPLETED	0	2025-08-28 18:42:22.683	153ms	11ms	83.7%	0	0	117 KB	371 B
35	92/dd4853	196511	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_mhc_0_7)	COMPLETED	0	2025-08-28 18:42:22.732	125ms	5ms	133.3%	0	0	115 KB	372 B
31	87/c9ec8a	196586	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_mhc_0_3)	COMPLETED	0	2025-08-28 18:42:22.773	103ms	5ms	109.1%	0	0	115 KB	372 B
38	4e/6fc9d2	196782	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_mhc_0_10)	COMPLETED	0	2025-08-28 18:42:22.844	114ms	10ms	70.6%	0	0	117 KB	373 B
27	5a/7ea905	196919	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_epitope_0_9)	COMPLETED	0	2025-08-28 18:42:22.888	132ms	6ms	92.3%	0	0	117 KB	377 B
39	f8/ba1fa9	196838	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_mhc_0_11)	COMPLETED	0	2025-08-28 18:42:22.864	165ms	10ms	37.5%	0	0	115 KB	373 B
32	ab/d02652	197215	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_mhc_0_4)	COMPLETED	0	2025-08-28 18:42:22.969	141ms	12ms	63.2%	0	0	110.9 KB	371 B
30	39/7d21ca	197529	GENERATE_TRAIN_CONFIG (human-u_cdr3alpha_epitope_0_12)	COMPLETED	0	2025-08-28 18:42:23.030	210ms	8ms	30.0%	0	0	115 KB	379 B
36	dc/1067ce	197587	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_mhc_0_8)	COMPLETED	0	2025-08-28 18:42:23.048	282ms	12ms	17.9%	0	0	112.9 KB	371 B
34	fb/6bc395	197889	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_mhc_0_6)	COMPLETED	0	2025-08-28 18:42:23.131	260ms	13ms	25.5%	0	0	117 KB	371 B
37	e7/edfeae	198291	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_mhc_0_9)	COMPLETED	0	2025-08-28 18:42:23.267	297ms	13ms	51.4%	0	0	115 KB	371 B
40	f2/8a0b65	198485	GENERATE_TRAIN_CONFIG (human-ch_cdr3alpha_mhc_0_12)	COMPLETED	0	2025-08-28 18:42:23.357	257ms	14ms	42.9%	0	0	117 KB	373 B
45	69/3c6d16	195574	TRAIN (human-u_cdr3alpha_mhc_0_3)	COMPLETED	0	2025-08-28 18:42:21.907	15m 43s	15m 40s	72.4%	17.1 MB	3.7 GB	10.8 GB	974.6 MB
50	c9/28185e	195729	TRAIN (human-u_cdr3alpha_mhc_0_4)	COMPLETED	0	2025-08-28 18:42:22.007	21m 56s	21m 53s	78.0%	16.5 MB	3.7 GB	23.7 GB	995.2 MB
55	3b/2c0741	305995	TRAIN (human-u_cdr3alpha_mhc_0_5)	COMPLETED	0	2025-08-28 19:04:18.321	25m 9s	25m 7s	91.6%	17.4 MB	3.7 GB	41.6 GB	1014.7 MB
51	e5/54665e	291885	TRAIN (human-u_cdr3alpha_mhc_0_8)	COMPLETED	0	2025-08-28 18:58:04.760	37m 13s	37m 10s	91.6%	17.6 MB	3.7 GB	111.2 GB	1.1 GB
41	55/d67146	198600	TRAIN (human-ch_cdr3alpha_epitope_0_3)	COMPLETED	0	2025-08-28 18:42:23.412	58m 11s	57m 59s	86.1%	17.3 MB	3.7 GB	44.2 GB	979.3 MB
54	18/e59914	347334	TRAIN (human-u_cdr3alpha_mhc_0_6)	COMPLETED	0	2025-08-28 19:29:26.916	29m 31s	29m 29s	90.8%	17.3 MB	3.7 GB	61.5 GB	1 GB
56	b1/1a3416	358501	TRAIN (human-u_cdr3alpha_mhc_0_7)	COMPLETED	0	2025-08-28 19:35:17.430	33m 39s	33m 38s	91.6%	17.1 MB	3.7 GB	85.9 GB	1 GB
49	bc/adcee7	195722	TRAIN (human-ch_cdr3alpha_epitope_0_4)	COMPLETED	0	2025-08-28 18:42:21.990	1h 31m 39s	1h 31m 36s	88.6%	17.2 MB	3.7 GB	106.8 GB	1001.1 MB
57	90/0b15dc	371446	TRAIN (human-u_cdr3alpha_mhc_0_9)	COMPLETED	0	2025-08-28 19:40:34.547	41m 51s	41m 50s	92.5%	17.8 MB	3.7 GB	141.2 GB	1.1 GB
53	dc/c46fe1	195740	TRAIN (human-ch_cdr3alpha_epitope_0_9)	COMPLETED	0	2025-08-28 18:42:22.024	1h 40m 35s	1h 40m 28s	89.4%	17.3 MB	3.7 GB	257.3 GB	1.1 GB
48	48/58435f	195669	TRAIN (human-ch_cdr3alpha_epitope_0_8)	COMPLETED	0	2025-08-28 18:42:21.940	1h 41m 2s	1h 40m 46s	89.4%	17.2 MB	3.7 GB	239 GB	1.1 GB
42	e5/cd321b	198922	TRAIN (human-ch_cdr3alpha_epitope_0_5)	COMPLETED	0	2025-08-28 18:42:23.591	1h 55m 21s	1h 54m 46s	90.1%	17.4 MB	3.7 GB	183.1 GB	1 GB
58	2f/5c5036	404066	TRAIN (human-u_cdr3alpha_mhc_0_10)	COMPLETED	0	2025-08-28 19:58:57.639	44m 19s	44m 17s	94.3%	17.6 MB	3.7 GB	172.9 GB	1.2 GB
47	84/6dfb51	195649	TRAIN (human-ch_cdr3alpha_epitope_0_6)	COMPLETED	0	2025-08-28 18:42:21.933	2h 6m 51s	2h 6m 49s	90.1%	17.9 MB	3.7 GB	250.2 GB	1 GB
43	b4/42d16b	195519	TRAIN (human-ch_cdr3alpha_epitope_0_7)	COMPLETED	0	2025-08-28 18:42:21.889	2h 19m 24s	2h 19m 22s	90.5%	17 MB	3.7 GB	324.4 GB	1.1 GB
60	d7/471d58	432878	TRAIN (human-u_cdr3alpha_mhc_0_12)	COMPLETED	0	2025-08-28 20:14:00.521	52m 28s	52m 27s	94.1%	18 MB	3.7 GB	249.8 GB	1.4 GB
44	61/ef8543	195594	TRAIN (human-ch_cdr3alpha_epitope_0_12)	COMPLETED	0	2025-08-28 18:42:21.914	2h 25m 44s	2h 25m 42s	90.5%	17.4 MB	3.7 GB	525.4 GB	1.1 GB
61	7b/d897b7	453043	TRAIN (human-u_cdr3alpha_mhc_0_11)	COMPLETED	0	2025-08-28 20:22:57.060	48m 25s	48m 23s	93.2%	17.3 MB	3.7 GB	208.7 GB	1.3 GB
52	d5/9b4309	198977	TRAIN (human-ch_cdr3alpha_epitope_0_10)	COMPLETED	0	2025-08-28 18:42:23.645	2h 44m 8s	2h 43m 26s	91.4%	17.3 MB	3.7 GB	560.9 GB	1.3 GB
69	f0/8c10e0	550904	TRAIN (human-ch_cdr3alpha_mhc_0_5)	COMPLETED	0	2025-08-28 21:08:06.414	24m 37s	24m 35s	94.5%	17.4 MB	3.7 GB	40.3 GB	1013.2 MB
