task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	4e/05c797	2110798	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_12)	COMPLETED	0	2025-08-30 01:14:18.174	85ms	3ms	92.3%	0	0	117.2 KB	389 B
4	67/5a1f86	2110822	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_6)	COMPLETED	0	2025-08-30 01:14:18.191	109ms	5ms	141.2%	0	0	117.2 KB	388 B
5	b8/a8c6de	2110853	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_7)	COMPLETED	0	2025-08-30 01:14:18.199	132ms	5ms	57.1%	0	0	113.2 KB	387 B
2	4d/d998d9	2110883	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_4)	COMPLETED	0	2025-08-30 01:14:18.208	126ms	9ms	80.0%	0	0	113.2 KB	387 B
1	51/49c538	2110932	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_3)	COMPLETED	0	2025-08-30 01:14:18.219	152ms	11ms	29.3%	0	0	113.2 KB	387 B
7	23/1dc5ba	2110990	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_9)	COMPLETED	0	2025-08-30 01:14:18.230	156ms	12ms	60.0%	0	0	113.2 KB	387 B
3	b1/3a2ec2	2111036	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_5)	COMPLETED	0	2025-08-30 01:14:18.241	176ms	11ms	53.3%	0	0	111.2 KB	387 B
6	65/a9d632	2111080	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_8)	COMPLETED	0	2025-08-30 01:14:18.253	172ms	17ms	51.1%	0	0	115.2 KB	387 B
9	3d/c1db3c	2111166	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_11)	COMPLETED	0	2025-08-30 01:14:18.275	173ms	15ms	22.6%	0	0	115.2 KB	389 B
8	8f/7275ee	2111127	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_10)	COMPLETED	0	2025-08-30 01:14:18.264	183ms	24ms	20.7%	0	0	115.2 KB	389 B
12	61/9f392f	2111597	TRAIN (human-ch_cdr3beta_epitope_0_6)	COMPLETED	0	2025-08-30 01:14:18.409	4h 54m 44s	4h 50m 11s	99.3%	17.8 MB	3.7 GB	612.9 GB	1.2 GB
15	1a/f7dce1	2111672	TRAIN (human-ch_cdr3beta_epitope_0_3)	COMPLETED	0	2025-08-30 01:14:18.451	5h 15m 1s	5h 11m 33s	99.1%	17.3 MB	3.7 GB	319.1 GB	1 GB
20	0f/527e01	2111725	TRAIN (human-ch_cdr3beta_epitope_0_11)	COMPLETED	0	2025-08-30 01:14:18.503	6h 37m 56s	6h 34m 1s	99.5%	17.7 MB	3.7 GB	1.5 TB	1.5 GB
11	8e/693281	2111623	TRAIN (human-ch_cdr3beta_epitope_0_12)	COMPLETED	0	2025-08-30 01:14:18.420	6h 56m 50s	6h 53m 2s	99.6%	17.2 MB	3.7 GB	1.7 TB	1.5 GB
18	1d/f3e46d	2111708	TRAIN (human-ch_cdr3beta_epitope_0_8)	COMPLETED	0	2025-08-30 01:14:18.481	7h 3m 22s	6h 58m 9s	99.9%	18.1 MB	3.7 GB	1.3 TB	1.3 GB
17	e4/74ec6d	2111695	TRAIN (human-ch_cdr3beta_epitope_0_5)	COMPLETED	0	2025-08-30 01:14:18.470	7h 21m 14s	7h 16m 35s	99.8%	18 MB	3.7 GB	924.9 GB	1.1 GB
14	a0/6ae4ef	2111643	TRAIN (human-ch_cdr3beta_epitope_0_4)	COMPLETED	0	2025-08-30 01:14:18.431	7h 34m 13s	7h 29m 10s	99.9%	18 MB	3.7 GB	721.4 GB	1.1 GB
13	d5/d86a7c	2111654	TRAIN (human-ch_cdr3beta_epitope_0_7)	COMPLETED	0	2025-08-30 01:14:18.441	9h 7m 4s	9h 4m 14s	99.6%	17.6 MB	3.7 GB	1.8 TB	1.3 GB
19	a0/b3e1ae	2111721	TRAIN (human-ch_cdr3beta_epitope_0_10)	COMPLETED	0	2025-08-30 01:14:18.493	9h 12m 58s	9h 8m 10s	99.9%	18.2 MB	3.7 GB	2.6 TB	1.4 GB
16	1f/a9efaf	2111680	TRAIN (human-ch_cdr3beta_epitope_0_9)	COMPLETED	0	2025-08-30 01:14:18.461	9h 39m 59s	9h 35m 15s	99.9%	17.3 MB	3.7 GB	2.7 TB	1.5 GB
