task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	ac/0ed837	1715942	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_7)	COMPLETED	0	2025-08-29 21:46:11.776	506ms	13ms	32.4%	0	0	117.2 KB	378 B
13	87/9c07dc	1715748	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_5)	COMPLETED	0	2025-08-29 21:46:11.733	548ms	14ms	60.0%	0	0	115.2 KB	384 B
7	67/fa2405	1715599	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_9)	COMPLETED	0	2025-08-29 21:46:11.695	584ms	7ms	34.3%	0	0	117.2 KB	378 B
4	af/8010b3	1715972	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_6)	COMPLETED	0	2025-08-29 21:46:11.787	496ms	12ms	26.1%	0	0	115.2 KB	378 B
8	ec/9d4a85	1715828	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_10)	COMPLETED	0	2025-08-29 21:46:11.752	530ms	7ms	66.7%	0	0	117.2 KB	380 B
10	97/da688b	1715707	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_12)	COMPLETED	0	2025-08-29 21:46:11.722	559ms	9ms	42.9%	0	0	115.2 KB	380 B
2	cf/fae90d	1715623	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_4)	COMPLETED	0	2025-08-29 21:46:11.702	578ms	9ms	75.0%	0	0	113.2 KB	378 B
6	09/a96ba6	1715541	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_8)	COMPLETED	0	2025-08-29 21:46:11.678	593ms	5ms	120.0%	0	0	115.2 KB	379 B
9	73/dee732	1715565	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_11)	COMPLETED	0	2025-08-29 21:46:11.686	593ms	14ms	35.3%	0	0	117.2 KB	380 B
3	2e/b15045	1715666	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_5)	COMPLETED	0	2025-08-29 21:46:11.712	568ms	9ms	63.2%	0	0	115.2 KB	378 B
12	5c/c6b494	1716022	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_4)	COMPLETED	0	2025-08-29 21:46:11.799	484ms	9ms	80.0%	0	0	111.1 KB	384 B
1	3e/f0473f	1715519	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_3)	COMPLETED	0	2025-08-29 21:46:11.663	709ms	3ms	85.7%	0	0	117.2 KB	378 B
21	37/6a662d	1716797	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_3)	COMPLETED	0	2025-08-29 21:46:12.388	745ms	10ms	25.0%	0	0	115.2 KB	386 B
18	1b/a736b8	1716679	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_10)	COMPLETED	0	2025-08-29 21:46:12.358	774ms	7ms	38.7%	0	0	117.2 KB	386 B
24	c7/ecd6db	1716853	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_6)	COMPLETED	0	2025-08-29 21:46:12.407	726ms	9ms	38.7%	0	0	115.2 KB	386 B
16	14/b89b54	1716558	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_8)	COMPLETED	0	2025-08-29 21:46:12.306	825ms	15ms	66.7%	0	0	117.2 KB	384 B
17	c7/c28373	1716666	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_9)	COMPLETED	0	2025-08-29 21:46:12.350	782ms	5ms	55.8%	0	0	117.2 KB	384 B
15	f3/d0114a	1716571	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_7)	COMPLETED	0	2025-08-29 21:46:12.318	814ms	10ms	53.3%	0	0	115.2 KB	384 B
19	b8/2fefca	1716725	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_11)	COMPLETED	0	2025-08-29 21:46:12.372	511ms	11ms	60.0%	0	0	113.2 KB	386 B
22	3c/afd534	1716943	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_4)	COMPLETED	0	2025-08-29 21:46:12.423	710ms	7ms	33.3%	0	0	115.2 KB	386 B
23	7f/b432e4	1716981	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_5)	COMPLETED	0	2025-08-29 21:46:12.434	699ms	6ms	80.0%	0	0	115.2 KB	386 B
14	81/3bd64c	1716541	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_6)	COMPLETED	0	2025-08-29 21:46:12.297	842ms	7ms	35.3%	0	0	117.2 KB	384 B
11	82/721260	1716510	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_3)	COMPLETED	0	2025-08-29 21:46:12.282	856ms	6ms	92.3%	0	0	117.2 KB	384 B
20	e9/cc517e	1716523	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_12)	COMPLETED	0	2025-08-29 21:46:12.290	848ms	7ms	82.8%	0	0	115.2 KB	386 B
25	6a/a5aa0b	1717561	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_7)	COMPLETED	0	2025-08-29 21:46:13.160	592ms	4ms	96.0%	0	0	115.2 KB	386 B
26	44/3e9afa	1717540	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_8)	COMPLETED	0	2025-08-29 21:46:13.138	610ms	8ms	96.0%	0	0	117.2 KB	386 B
29	34/01fac0	1717583	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_11)	COMPLETED	0	2025-08-29 21:46:13.175	582ms	8ms	63.2%	0	0	113.2 KB	388 B
27	96/31c1a5	1717656	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_9)	COMPLETED	0	2025-08-29 21:46:13.204	549ms	6ms	72.7%	0	0	111.1 KB	386 B
28	31/36c5f2	1717622	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_10)	COMPLETED	0	2025-08-29 21:46:13.191	567ms	8ms	75.0%	0	0	115.2 KB	388 B
30	b4/f1529a	1717689	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_12)	COMPLETED	0	2025-08-29 21:46:13.211	656ms	9ms	70.6%	0	0	117.2 KB	388 B
42	3e/247587	1718132	TRAIN (human-ch_cdr3beta_mhc_0_3)	COMPLETED	0	2025-08-29 21:46:13.922	41m 52s	37m 7s	87.7%	17.4 MB	3.7 GB	28.5 GB	1000 MB
37	37/d4276a	1717960	TRAIN (human-ch_cdr3beta_mhc_0_4)	COMPLETED	0	2025-08-29 21:46:13.303	1h 2m 50s	59m 7s	89.3%	17.6 MB	3.7 GB	67.5 GB	1 GB
40	5b/00907f	1718101	TRAIN (human-ch_cdr3beta_mhc_0_5)	COMPLETED	0	2025-08-29 21:46:13.888	1h 15m 5s	1h 10m 17s	91.1%	17.6 MB	3.7 GB	111.7 GB	1.1 GB
36	44/1a510e	1718001	TRAIN (human-ch_cdr3beta_mhc_0_6)	COMPLETED	0	2025-08-29 21:46:13.315	1h 24m 18s	1h 18m 8s	93.4%	17.2 MB	3.7 GB	160.7 GB	1.1 GB
34	9a/a889cf	1718100	TRAIN (human-ch_cdr3beta_mhc_0_7)	COMPLETED	0	2025-08-29 21:46:13.879	1h 35m 6s	1h 30m 8s	92.3%	17.1 MB	3.7 GB	219.8 GB	1.2 GB
38	23/0863c3	1717881	TRAIN (human-ch_cdr3beta_mhc_0_8)	COMPLETED	0	2025-08-29 21:46:13.268	1h 45m 16s	1h 41m 32s	91.2%	17.2 MB	3.7 GB	287.5 GB	1.2 GB
31	82/6bb149	1717910	TRAIN (human-ch_cdr3beta_mhc_0_9)	COMPLETED	0	2025-08-29 21:46:13.277	1h 55m 51s	1h 52m 8s	91.5%	17 MB	3.7 GB	363.9 GB	1.3 GB
35	c1/f40289	1718094	TRAIN (human-ch_cdr3beta_mhc_0_10)	COMPLETED	0	2025-08-29 21:46:13.868	2h 7m 12s	2h 3m 21s	91.7%	17.3 MB	3.7 GB	448.8 GB	1.5 GB
39	bd/1df264	1717805	TRAIN (human-ch_cdr3beta_mhc_0_11)	ABORTED	-	2025-08-29 21:46:13.248	-	-	-	-	-	-	-
32	3f/6042eb	1717930	TRAIN (human-ch_cdr3beta_mhc_0_12)	ABORTED	-	2025-08-29 21:46:13.289	-	-	-	-	-	-	-
33	b2/653d66	1718114	TRAIN (human-u_cdr3beta_epitope_0_5)	ABORTED	-	2025-08-29 21:46:13.899	-	-	-	-	-	-	-
41	51/9d4ba1	1718119	TRAIN (human-u_cdr3beta_epitope_0_4)	ABORTED	-	2025-08-29 21:46:13.910	-	-	-	-	-	-	-
44	0c/030696	1834722	TRAIN (human-u_cdr3beta_epitope_0_8)	ABORTED	-	2025-08-29 22:28:05.751	-	-	-	-	-	-	-
49	84/2c06b5	1866595	TRAIN (human-u_cdr3beta_epitope_0_9)	ABORTED	-	2025-08-29 22:49:02.940	-	-	-	-	-	-	-
43	10/15c02a	1887742	TRAIN (human-u_cdr3beta_epitope_0_11)	ABORTED	-	2025-08-29 23:01:18.432	-	-	-	-	-	-	-
45	d1/aff54d	1904714	TRAIN (human-ch_cdr3beta_epitope_0_3)	ABORTED	-	2025-08-29 23:10:31.720	-	-	-	-	-	-	-
46	01/c0bd48	1924131	TRAIN (human-u_cdr3beta_epitope_0_7)	ABORTED	-	2025-08-29 23:21:19.628	-	-	-	-	-	-	-
52	67/d22110	1942771	TRAIN (human-ch_cdr3beta_epitope_0_5)	ABORTED	-	2025-08-29 23:31:28.821	-	-	-	-	-	-	-
51	10/6c3eca	1961897	TRAIN (human-ch_cdr3beta_epitope_0_4)	ABORTED	-	2025-08-29 23:42:04.489	-	-	-	-	-	-	-
53	7a/385f56	1981940	TRAIN (human-u_cdr3beta_epitope_0_6)	ABORTED	-	2025-08-29 23:53:25.462	-	-	-	-	-	-	-
